areaCode,areaName,areaType,date,hospitalCases
K02000001,United Kingdom,overview,4/28/2020,15877
K02000001,United Kingdom,overview,4/27/2020,16662
K02000001,United Kingdom,overview,4/26/2020,16555
K02000001,United Kingdom,overview,4/25/2020,16604
K02000001,United Kingdom,overview,4/24/2020,17063
K02000001,United Kingdom,overview,4/23/2020,17867
K02000001,United Kingdom,overview,4/22/2020,18533
K02000001,United Kingdom,overview,4/21/2020,19139
K02000001,United Kingdom,overview,4/20/2020,19331
K02000001,United Kingdom,overview,4/19/2020,19574
K02000001,United Kingdom,overview,4/18/2020,19456
K02000001,United Kingdom,overview,4/17/2020,19330
K02000001,United Kingdom,overview,4/16/2020,20389
K02000001,United Kingdom,overview,4/15/2020,20582
K02000001,United Kingdom,overview,4/14/2020,21281
K02000001,United Kingdom,overview,4/13/2020,21308
K02000001,United Kingdom,overview,4/12/2020,21687
K02000001,United Kingdom,overview,4/11/2020,21254
K02000001,United Kingdom,overview,4/10/2020,21280
K02000001,United Kingdom,overview,4/9/2020,21005
K02000001,United Kingdom,overview,4/8/2020,20740
K02000001,United Kingdom,overview,4/7/2020,20234
K02000001,United Kingdom,overview,4/6/2020,19493
K02000001,United Kingdom,overview,4/5/2020,18855
K02000001,United Kingdom,overview,4/4/2020,17502
K02000001,United Kingdom,overview,4/3/2020,15546
K02000001,United Kingdom,overview,4/2/2020,13875
K02000001,United Kingdom,overview,4/1/2020,13637
K02000001,United Kingdom,overview,3/31/2020,12597
K02000001,United Kingdom,overview,3/30/2020,11093
K02000001,United Kingdom,overview,3/29/2020,9525
K02000001,United Kingdom,overview,3/28/2020,8278
K02000001,United Kingdom,overview,3/27/2020,7267
